dataset_row,split,group_id,text_group_id,project_label,internal_label
0,train,9029aaed652d8755e36498d003c3e0c600b0ee49110a2fb5a7a8b737464c7ec5,9323bb33a2474100591f4105b22d2501680bb121d9bf0becc49a7b1da01d78a2,1,0
1,train,fe1ddb5b604ef526152ab307dc8875de07f101f24f8fa1b17df286d842e381f5,3e850130e306459dd7f8a6fcd3840b6381cef430520887f3ef3c065c0a78ab44,1,0
2,train,e3f43c486ab82463f2f16762e9e5eab69d7d598403b370f4522f043bfc43f2dd,9abe309063e66982ad248b727977bf36e139bc65b7b639924ff154214949c49a,1,0
3,train,94d09e2c390c8a0059233d39a313676022b478a2aa8985929837c3765ede1df5,f1a03a24b3a49ca536b97ce971c6c621be7ba271080d9d96444514af3c3aa578,5,4
4,train,e12965294759660fdb145813914b878493d17be5f396018b2f5ff644ba5fa33c,b5ad5abb2e288ba159e3d70ddbffe6f847205930d7d95f2eb3d5002c89cf7670,6,5
5,train,e585c40af2f8f03f322a97fe43c6496c123b29a8dcc9149ca92fcc0cb5ca299b,3fbbe20cea62228ee0d87f1d851fe21493ba020076057cac0ef788b40fde2555,5,4
6,validation,86ae39c3231b3b322ece8786a241beefd58b51a1c95ce30520e65075915d1c00,1b911d5525d953b5045bf833b0b823dce7b8ef4ff2cfe9d3ef9fc84a09776ada,3,2
7,train,eca45faefd5d19d939d80ecce074612f7be7af9cdbdecc19132a431e488f41d4,455b83f58c98add431659d11f74f46d018a72b3d3422b8b588fca37a8ca35201,1,0
8,train,a7f2fb61cf7770909d54199d7ee44d7edef38a02a7a6e1f746f6b72f260478aa,660fa5d40c6f46b60fea53d69bd4f1ff8dc20250c63efa9fcde4138556ec7a45,2,1
9,train,ce490bd6780344ce9bc4ef10d8d08d687416ddcf5d26e610a6f8a1ffc471bf8b,55950f8981e43c2ae8f30143af415a1ae2ab448fb47b3007dda248681eaacb32,4,3
10,train,272c6d42848a8ca491d1689415cb1b3e1d86d7b03feda0ed09173a29526bf38c,07eafd4ef5ca6d5aa30531621e7c0cb6ad30fe0702e9f610cc3f4a54c66ac88f,4,3
11,train,c5e1c2447df2c62d5474295f4b262f3d1d8e011811108473477aa3530e7e7935,bc3ef51e1bc82176cd6309081f0555d23ecb91377be76e41b7a75941e4caa448,4,3
12,train,23f7717a1009b9595523764776a9e4fabd2b577f815a1559fd625cf38ab4ffb2,9327cafabbcc69c35c868ea7fa74efb68ed62b9307ee3f13d500124629a42aeb,6,5
13,train,628d7a7d09d418231c27763b881f5442a21c4018f31f6c69e97500d3db944a9d,b7644867d370349d99af844b6dcb9d62227d601cb6948e9fbfd7266f60e74853,1,0
14,validation,a0c98a707071fe368e5121916316a47f880b9e3b38ac48971d026c36c348099a,bcc2bf74ade747f08805c6cec8f58e2cebf24ea67524b7628f7848bc522ebd80,6,5
15,train,4875a3cc87197e978e1920367fbfa795378669011a4748d65deeaf5d49d7022a,421e60c258020d743f51c4d6c5c9ff829f3d3292ae96eccda949c71a3ce0bcdf,2,1
16,train,088b820b66bb02032236f7c5386f1ce31def6fc16691e2c73b7bb0a4b883c0e6,e33d6cd78366fd75de7950b106a1dd388049176c84312a3b3693fa5582264bf6,2,1
17,validation,b7832dcf858e52759f5ba5fac917114e420b14bdb75abc9c937f17540a57f412,5ba71b6c79ec6347439f8eaad616b90d075293eb9d886cfb1f43fba9b8ef99d3,4,3
18,validation,040e71946491502cd1835791fbdeae9456a7e637688021091102bce9733d0115,cd1859ed7a481c23e5787ce8e69fda674eff6679a41b11abd12234b4257f11b5,6,5
19,train,3afd1c99bb118eaef7783d324d1e1503c24bdad6396e70c19c352ea75a431fb7,521234187e8d876deb97324cf96fa3fe759f23904b4ad616822d40cdee1e5a18,4,3
20,train,e3cdecfb3f905cc6114f6bf732334a3cc38fb934e240ef7234cebdeebb4de705,c9b6ea3fb4ec9ed2b3aaff4c86309af87ce2613c352e6642bdcb2541249555e1,1,0
21,train,ed8950b03aaa5cac8a8cb8a72cb7f662f49bae31ad46afc3e244528c052f63a2,4ae189082da6d920a3aa935ffb73d247e4013536d81bbe6d8c58f9e86e2d7d44,3,2
22,train,eb6abde65ecc9b2503abb38c3cb266caf739a75486d9f0771b53f9457e967fe6,1aa7ebd16b721e56f8ec0d84b53bde9403985dd67799750e54342df781353dbb,1,0
23,test,e665dc5c93f526c6f4ae4a8777d719a6cb8bc91c38058dd4d62a8ee756bfd9cc,d74584f69fd3a980019c195dd83a869419e89450df1000c2c7194be3ef49d645,6,5
24,train,d9a92b7fb26987f9dd2bb4586b1ef0e50ad9dfba89909ae981ea14fa4e5cb413,e516d1974fe370a9bf72e812a4244215d7f8619a41c9fe1ef5ab427df70def64,5,4
25,train,816ad02c5b0e714680fafd758405142d1494cecfdd5e5be2836fc3454cf47344,f63eea6021bd6012785087f5c7138185f07ccd25b4a2d1a016ced20fcb84f931,4,3
26,train,0f60951482203b8d028cbf4334c53b18564e6817e448d13184f81cf7d4597e8d,ee41175ed62358b83f0ff80f8dda9d7efdb85731d619601a04e622d01becd850,4,3
27,train,c577e7011697b719bd0ebd664305df49d2ede78e32b9697035b9717fda17ed78,57e2f80e512d78b6c11b9d6c0fc19b62b55be9977b2b770252cb5b6e88bec959,4,3
