dataset_row,split,group_id,text_group_id,project_label,internal_label
0,train,2443b43e29e6f9dc3df4c6c7e0ad7b1bf333fb1a5b450d90e068ee3d7d8f07b0,8861a52de6529d969640170fc4cf4c5ad34ec88c3f3ac24badef1006d164d325,1,0
1,train,d8da132146b4fe946c4a4c57e74d3bac0b7c1bed7ab77b1ea3cb7262295c4777,2745471d6a5afb0e460e129d3dea095e82bf72a7dbf09c4983e49163dd2690db,1,0
2,train,49ccd2119524d1962ead43f928ba79a90f6e42004544ce0360f8099c3d732231,0f1a4a91f7930c3965be030553ae5d91af11c9e3acb0c6dd29ecb3b134173bb0,1,0
3,train,94d09e2c390c8a0059233d39a313676022b478a2aa8985929837c3765ede1df5,f1a03a24b3a49ca536b97ce971c6c621be7ba271080d9d96444514af3c3aa578,5,4
4,train,e12965294759660fdb145813914b878493d17be5f396018b2f5ff644ba5fa33c,b5ad5abb2e288ba159e3d70ddbffe6f847205930d7d95f2eb3d5002c89cf7670,6,5
5,train,e585c40af2f8f03f322a97fe43c6496c123b29a8dcc9149ca92fcc0cb5ca299b,3fbbe20cea62228ee0d87f1d851fe21493ba020076057cac0ef788b40fde2555,5,4
6,validation,86ae39c3231b3b322ece8786a241beefd58b51a1c95ce30520e65075915d1c00,1b911d5525d953b5045bf833b0b823dce7b8ef4ff2cfe9d3ef9fc84a09776ada,3,2
7,train,2b04c6dc6ef89da2d749acc0958eb91c8445e8eedeea8c74dc2f13093e6293db,2aa4579e5ea2644b0ed5c2b0289a5ad52f2d523ad6652260de648e42a507d948,1,0
8,train,a7f2fb61cf7770909d54199d7ee44d7edef38a02a7a6e1f746f6b72f260478aa,660fa5d40c6f46b60fea53d69bd4f1ff8dc20250c63efa9fcde4138556ec7a45,2,1
9,train,ce490bd6780344ce9bc4ef10d8d08d687416ddcf5d26e610a6f8a1ffc471bf8b,55950f8981e43c2ae8f30143af415a1ae2ab448fb47b3007dda248681eaacb32,4,3
10,train,272c6d42848a8ca491d1689415cb1b3e1d86d7b03feda0ed09173a29526bf38c,07eafd4ef5ca6d5aa30531621e7c0cb6ad30fe0702e9f610cc3f4a54c66ac88f,4,3
11,train,c5e1c2447df2c62d5474295f4b262f3d1d8e011811108473477aa3530e7e7935,bc3ef51e1bc82176cd6309081f0555d23ecb91377be76e41b7a75941e4caa448,4,3
12,train,23f7717a1009b9595523764776a9e4fabd2b577f815a1559fd625cf38ab4ffb2,9327cafabbcc69c35c868ea7fa74efb68ed62b9307ee3f13d500124629a42aeb,6,5
13,train,0243a26bed1460e69299de0bcbc6f262d432bc1245e123ada8b3fdb6336a2217,7c226ba809cbf380255755ca7ee2aafbb0f3790972144c7f9447ffd5ef445f32,1,0
14,validation,a0c98a707071fe368e5121916316a47f880b9e3b38ac48971d026c36c348099a,bcc2bf74ade747f08805c6cec8f58e2cebf24ea67524b7628f7848bc522ebd80,6,5
15,train,4875a3cc87197e978e1920367fbfa795378669011a4748d65deeaf5d49d7022a,421e60c258020d743f51c4d6c5c9ff829f3d3292ae96eccda949c71a3ce0bcdf,2,1
16,train,088b820b66bb02032236f7c5386f1ce31def6fc16691e2c73b7bb0a4b883c0e6,e33d6cd78366fd75de7950b106a1dd388049176c84312a3b3693fa5582264bf6,2,1
17,validation,b7832dcf858e52759f5ba5fac917114e420b14bdb75abc9c937f17540a57f412,5ba71b6c79ec6347439f8eaad616b90d075293eb9d886cfb1f43fba9b8ef99d3,4,3
18,validation,040e71946491502cd1835791fbdeae9456a7e637688021091102bce9733d0115,cd1859ed7a481c23e5787ce8e69fda674eff6679a41b11abd12234b4257f11b5,6,5
19,train,3afd1c99bb118eaef7783d324d1e1503c24bdad6396e70c19c352ea75a431fb7,521234187e8d876deb97324cf96fa3fe759f23904b4ad616822d40cdee1e5a18,4,3
20,train,fff68e437d51d8e2d6731a64ce72100e4e587b09b996be929f3442854dede318,86e52ef0f6ae5c75caaf98511cab393295b5650967c205a3f67b92205ecc8b4c,1,0
21,train,ed8950b03aaa5cac8a8cb8a72cb7f662f49bae31ad46afc3e244528c052f63a2,4ae189082da6d920a3aa935ffb73d247e4013536d81bbe6d8c58f9e86e2d7d44,3,2
